Country Name,Access to electricity (% of population),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Energy use (kg of oil equivalent per capita),Forest area (% of land area),GDP per capita (current US$),Urban population (% of total population)
St. Vincent and the Grenadines,100.0,1.258352003000306,1467.1093190284712,73.17948717948717,10582.365672522892,47.7169922340041
Sudan,66.0,0.4337008301555363,372.31297120203385,9.55196466809422,797.283447265625,34.7960076976764
Suriname,99.6,3.968922825440541,1695.1637896330656,94.44758351333,5521.97602122638,65.7562408447266
Sweden,100.0,3.4800778844701044,4288.833339081217,68.70135291084539,54950.28347256223,88.631216160938
Switzerland,100.0,3.7874647506722487,2511.3715420949707,32.38273808182967,100623.54962729648,85.1854212679815
Syrian Arab Republic,88.4,1.3289934744878102,395.89226040383227,2.8431084245493654,7309.929761202353,72.1673803143204
Tajikistan,100.0,0.897072214775281,393.055077961309,3.075149506448591,1178.4799006024873,26.1890127571429
Tanzania,48.3,0.3238393165914728,400.79903628363047,50.05418830435764,1224.00219726563,35.4748019434954
Thailand,100.0,3.835774893837287,1851.272314241671,38.687388674665776,7195.101309194487,60.9341926574707
Timor-Leste,100.0,0.4799586212675704,1467.1093190284712,61.66106254203093,1502.4114743821076,28.595471832952
Togo,59.2,0.2720559240276873,429.1626011609285,22.070049641478214,1055.0172787792565,43.2496853032436
Tonga,100.0,1.5468894901383403,1467.1093190284712,12.430555555555555,5651.593730631569,21.147944541337
Trinidad and Tobago,98.7,19.706985689318543,10590.42820920293,44.23586744639377,18308.453629857464,53.9536842104572
Tunisia,100.0,2.55804077741188,901.544846500177,4.552780638516992,3951.116833769215,70.0266686486584
Turkiye,100.0,5.232154127996092,1849.535923445425,29.479568104153948,13375.094728286427,89.0218446796121
Turkmenistan,100.0,12.862991038827404,4558.646393695731,8.782159044964144,6231.913238396981,47.0678875054171
Turks and Caicos Islands,100.0,4.7880860643317895,1467.1093190284712,11.073684210526316,35470.21516082947,93.9324513656818
Tuvalu,100.0,0.0,1467.1093190284712,33.33333333333333,6344.775018868903,64.0117206689787
Uganda,51.5,0.166813953979235,497.3903377728276,11.041970377019748,1002.3091391714248,30.6059359395495
Ukraine,100.0,3.225180317747651,1508.2779130002075,16.75526406627546,5139.59814453125,69.4754455027606
United Arab Emirates,100.0,18.38048232927318,9139.5423044996,4.467755561813574,49850.6872175164,85.6680699002526
United Kingdom,100.0,4.449959119313205,2127.6084341819046,13.290713016161702,49944.47021242014,83.1601932891335
United States,100.0,13.71194198601391,6363.500158200724,33.86692641203749,81032.26211754496,80.071561119178
Uruguay,100.0,2.417533701230873,1771.5272920868067,11.964346931779223,23019.42215600459,95.5439605712891
Uzbekistan,100.0,3.720112698457353,1394.0904671425892,8.549143311017815,2878.9687929245074,50.9964841114568
Vanuatu,61.6,0.8479786772531358,1467.1093190284712,36.28383921246924,3482.614582376369,22.2651966823901
"Venezuela, RB",100.0,3.4059148886461164,1331.2328409965755,52.23387937191769,3617.4359457826895,89.249627620225
Viet Nam,99.8,3.893540262678069,1018.0694042216336,47.44548207089962,4323.3503198245135,38.1298904418945
Virgin Islands (U.S.),100.0,0.0019062687648331,1467.1093190284712,58.17142857142857,7309.929761202353,95.2740790945924
"Yemen, Rep.",83.6,0.2697431956127623,154.99626140539775,1.03983180862549,7309.929761202353,36.5707979836506
Zambia,51.1,0.5480900976236931,804.2230601748556,59.52378415098401,1330.7278057670908,45.0285853521585
Zimbabwe,62.0,0.7689943627070903,472.22895786097,44.73664210934471,2195.2249207924506,39.2919370795795
